"region","label","func_group","label_name","merged_label","merged_name","description_examples"
"Atlantic","AARC","Other Invertebrates","Tube sponges","SpTube","Tube sponge","Tube species: A. archeri; A. tubulata; C. plicifera; N. digitalis; unknown vase and small barrel group (tube opening ~ height; basal area < opening)"
"Atlantic","ACER","Hard Coral","Acropora cervicornis","ACER","A. cervicornis","Acropora cervicornis"
"Atlantic","ACOM","Other Invertebrates","Erect sponges","SpEre","Erect Sponge","Upright narrow tubes branches arborescent e.g. A. compressa. >1 cm height; height >>basal area"
"Atlantic","Acra","Other Invertebrates","Massive sponges","SpMass","Massive sponge","Large basal area to body size and height > 5 cm; compact shape; irregular shapes include: chain-tubes spherical castle; e.g. E. ferox; Verongula sp."
"Atlantic","AFIS","Other Invertebrates","Aplysina fistularis","AFIS","A. fistularis","Aplysina fistularis"
"Atlantic","AGAR","Hard Coral","Agaricia/Undaria/Leptoseris spp.","AGAR","Agariciidae","Agariciidae. Plates and encrusting corals of the genera Agaricia Undaria and Helioseris"
"Atlantic","AMAT","Algae","Turf algae","EAM","Epilithic Algal Matrix","Multi-specific assemblages of filamentous algae and CCA smothering reef surface 1 cm or less in height"
"Atlantic","APAL","Hard Coral","Acropora palmata","APAL","A. palmata","Acropora palmata"
"Atlantic","ApFuCa","Other Invertebrates","Rope sponges","SpRope","Rope sponge","Height >> basal area; Spread along the substrate. e.g. S. aura"
"Atlantic","ATUB","Other Invertebrates","Tube sponges","SpTube","Tube sponge","Tube species: A. archeri; A. tubulata; C. plicifera; N. digitalis; unknown vase and small barrel group (tube opening ~ height; basal area < opening)"
"Atlantic","CCA","Algae","CCA","EAM","Epilithic Algal Matrix","Multi-specific assemblages of filamentous algae and CCA smothering reef surface 1 cm or less in height"
"Atlantic","CDEL","Other Invertebrates","Encrusting sponges","SpEnc","Encrusting sponge","< 5 cm height (for whole individual); e.g. S. ruetzleri; Haliclona sp.; Monanchora sp.; Chondrilla sp.; Clathria sp.; C. varians"
"Atlantic","CNAT","Hard Coral","Colpophyllia natans","CNAT","C. natans","Colpophyllia natans"
"Atlantic","CPLI","Other Invertebrates","Tube sponges","SpTube","Tube sponge","Tube species: A. archeri; A. tubulata; C. plicifera; N. digitalis; unknown vase and small barrel group (tube opening ~ height; basal area < opening)"
"Atlantic","CVAG","Other Invertebrates","Callyspongia vaginalis","CVAG","C. vaginalis","Callyspongia vaginalis"
"Atlantic","CVIR","Other Invertebrates","Cliona viridis complex","Cliona","Cliona spp","Cliona viridis complex"
"Atlantic","CYAN","Algae","Cyanobacteria","CYANO","Cyanobacteria ","Cyanobacteria"
"Atlantic","Dict","Algae","Macroalgae","MALG","Macroalgae","Upright macroalgae > 1 cm in height  (all genera and species)"
"Atlantic","DLAB","Hard Coral","Diploria labyrinthiformis","DLAB","D. labyrinthiformis","Diploria labyrinthiformis"
"Atlantic","DLAB-BL","Hard Coral","Diploria labyrinthiformis bleached","DLAB","D. labyrinthiformis","Diploria labyrinthiformis"
"Atlantic","EFAS","Hard Coral","Eusmilia fastigiata","EFAS","E. fastigiata","Eusmilia fastigiata"
"Atlantic","ENGR1","Soft Coral","Encrusting soft corals","OTH-SF","Other soft corals","Other soft corals including erect and encrusting forms (Caribbean)"
