surveyid,transectid,surveydate,ocean,country,"folder_name","lat_start","lng_start","lat_end","lng_end","pr_hard_coral","pr_algae","pr_soft_coral","pr_oth_invert","pr_other"
10001,10001,20120916,PAC,AUS,"PAC_AUS_10001_201209",-16.1890227,145.8981037,-16.19176132,145.8940881,0.1856,0.3724,0.271,0.001,0.17
10002,10002,20120917,PAC,AUS,"PAC_AUS_10002_201209",-16.1893027,145.8982542,-16.17594659,145.8897357,0.1364,0.4766,0.3079,0.002,0.0771
10003,10003,20120918,PAC,AUS,"PAC_AUS_10003_201209",-16.1757678,145.8916764,-16.18121822,145.8889043,0.2475,0.5653,0.0747,0.0207,0.0917
10004,10004,20120920,PAC,AUS,"PAC_AUS_10004_201209",-16.5366452,147.8067956,-16.52428709,147.8433251,0.1242,0.5706,0.0279,0.0023,0.2748
10005,10005,20120920,PAC,AUS,"PAC_AUS_10005_201209",-16.5292156,147.8025816,-16.52168945,147.83618,0.0781,0.7894,0.0096,0.0029,0.1201
10006,10006,20120920,PAC,AUS,"PAC_AUS_10006_201209",-16.5133381,147.8482093,-16.51073783,147.840218,0.1033,0.6517,0.0102,0.0027,0.2321
10007,10007,20120921,PAC,AUS,"PAC_AUS_10007_201209",-16.384659,147.851498,-16.384808,147.850638,0.0574,0.7671,0.016,0.0009,0.1588
10008,10008,20120921,PAC,AUS,"PAC_AUS_10008_201209",-16.444951,147.898807,-16.4330675,147.9021686,0.1059,0.8187,0.0225,0.003,0.0498
10009,10009,20120922,PAC,AUS,"PAC_AUS_10009_201209",-16.4066381,148.0243197,-16.41151917,148.0094236,0.1692,0.5963,0.0404,0.001,0.1933
10010,10010,20120922,PAC,AUS,"PAC_AUS_10010_201209",-16.4073942,148.0306497,-16.41494944,148.0431997,0.1866,0.6976,0.0781,0.0134,0.0244
10011,10011,20120923,PAC,AUS,"PAC_AUS_10011_201209",-17.7126931,148.3990133,-17.71077778,148.3846214,0.0797,0.8374,0.024,0.0053,0.0534
10012,10012,20120923,PAC,AUS,"PAC_AUS_10012_201209",-17.7142167,148.3583225,-17.71188667,148.3456928,0.1126,0.8128,0.0323,0.0058,0.0364
10013,10013,20120924,PAC,AUS,"PAC_AUS_10013_201209",-17.698393,148.513366,-17.69947,148.510691,0.0986,0.5873,0.0167,0.0099,0.2874
10014,10014,20120924,PAC,AUS,"PAC_AUS_10014_201209",-17.7313733,148.4601136,-17.72522056,148.4506825,0.0531,0.6785,0.0113,0.0029,0.2542
10016,10016,20120925,PAC,AUS,"PAC_AUS_10016_201209",-17.6807966,148.5864399,-17.68643956,148.573834,0.0381,0.9008,0.0365,0.0011,0.0233
10017,10017,20120925,PAC,AUS,"PAC_AUS_10017_201209",-17.7859986,148.4115241,-17.77980533,148.4208825,0.0736,0.5429,0.0141,0.0011,0.3683
10019,10019,20120926,PAC,AUS,"PAC_AUS_10019_201209",-17.877229,148.472445,-17.863848,148.468099,0.1954,0.6155,0.0204,0.004,0.1647
10020,10020,20120926,PAC,AUS,"PAC_AUS_10020_201209",-17.829631,148.52175,-17.824785,148.507216,0.1072,0.7962,0.0074,0.0037,0.0852
10022,10022,20120927,PAC,AUS,"PAC_AUS_10022_201209",-18.2574249,147.3991127,-18.27297463,147.3963616,0.0544,0.84,0.0258,0.006,0.0737
10023,10023,20120928,PAC,AUS,"PAC_AUS_10023_201209",-18.2756333,147.3920883,-18.2805403,147.3787276,0.0559,0.8944,0.0121,0.0058,0.0317
10024,10024,20120928,PAC,AUS,"PAC_AUS_10024_201209",-18.2538858,147.3901059,-18.2549848,147.3824616,0.1491,0.7829,0.0292,0.0059,0.033
10025,10025,20120924,PAC,AUS,"PAC_AUS_10025_201209",-17.705991,148.505021,-17.70638463,148.5176322,0.0638,0.8919,0.0369,0.0019,0.0054
10026,10026,20120922,PAC,AUS,"PAC_AUS_10026_201209",-16.5252328,147.9707943,-16.51042485,147.9668491,0.0579,0.5059,0.0113,0.0016,0.4234
11001,11001,20121006,PAC,AUS,"PAC_AUS_11001_201210",-18.8063534,147.669078,-18.80167843,147.6569638,0.1141,0.6164,0.0497,0.0024,0.2173
11002,11002,20121006,PAC,AUS,"PAC_AUS_11002_201210",-18.833291,147.651632,-18.846009,147.641973,0.1586,0.6852,0.0978,0.0216,0.0366
11003,11003,20121007,PAC,AUS,"PAC_AUS_11003_201210",-18.656207,147.724072,-18.651769,147.719467,0.0485,0.907,0.0225,0.0098,0.0121
11004,11004,20121007,PAC,AUS,"PAC_AUS_11004_201210",-18.665839,147.722256,-18.671366,147.711082,0.0331,0.8568,0.023,0.0068,0.0805
11005,11005,20121008,PAC,AUS,"PAC_AUS_11005_201210",-18.5909213,147.5650321,-18.5907397,147.5633356,0.4016,0.4756,0.0185,0.0046,0.0998
11006,11006,20121008,PAC,AUS,"PAC_AUS_11006_201210",-18.582809,147.579661,-18.590713,147.567133,0.0622,0.8258,0.019,0.0098,0.0833
11007,11007,20121008,PAC,AUS,"PAC_AUS_11007_201210",-18.579311,147.581062,-18.57196,147.580614,0.0594,0.8982,0.0315,0.0066,0.0043
12001,12001,20121020,PAC,AUS,"PAC_AUS_12001_201210",-14.922762,145.699678,-14.920202,145.701162,0.4765,0.3645,0.1037,0.0059,0.0494
12002,12002,20121020,PAC,AUS,"PAC_AUS_12002_201210",-14.92987,145.704325,-14.930104,145.703707,0.1874,0.2667,0.0165,0.0034,0.5259
12003,12003,20121031,PAC,AUS,"PAC_AUS_12003_201210",-15.396686,145.765412,-15.397482,145.762461,0.376,0.443,0.0334,0.0022,0.1454
12005,12005,20121021,PAC,AUS,"PAC_AUS_12005_201210",-14.5709196,145.6158435,-14.58191296,145.6111476,0.1717,0.4703,0.0097,0.0089,0.3393
12007,12007,20121022,PAC,AUS,"PAC_AUS_12007_201210",-14.491316,145.514705,-14.49122,145.514673,0.1755,0.6458,0.0441,0.0168,0.1176
12008,12008,20121023,PAC,AUS,"PAC_AUS_12008_201210",-13.8875292,146.5568643,-13.88759759,146.5569336,0.297,0.5374,0.0365,0.0044,0.1247
12009,12009,20121023,PAC,AUS,"PAC_AUS_12009_201210",-13.9580445,146.6040111,-13.94236838,146.5973572,0.1421,0.7037,0.1336,0.0096,0.0109
12010,12010,20121023,PAC,AUS,"PAC_AUS_12010_201210",-13.9213329,146.5738987,-13.90726003,146.564723,0.1872,0.661,0.1124,0.0164,0.023
12011,12011,20121024,PAC,AUS,"PAC_AUS_12011_201210",-13.8365523,146.5670617,-13.82555206,146.563663,0.3584,0.4912,0.0361,0.0187,0.0957
12012,12012,20121024,PAC,AUS,"PAC_AUS_12012_201210",-13.8486917,146.5641097,-13.85223158,146.5636309,0.2763,0.4929,0.0216,0.0086,0.2009
12013,12013,20121024,PAC,AUS,"PAC_AUS_12013_201210",-13.8800735,146.557669,-13.87464464,146.556732,0.3795,0.5567,0.0209,0.0115,0.0316
12014,12014,20121024,PAC,AUS,"PAC_AUS_12014_201210",-13.8751352,146.5566893,-13.86655692,146.5570867,0.3339,0.588,0.0217,0.0119,0.0443
12015,12015,20121025,PAC,AUS,"PAC_AUS_12015_201210",-13.8871083,146.5570683,-13.887605,146.556885,0.375,0.5143,0.0207,0.0107,0.0794
